Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
333,"Spitalstrasse 21, 6004 Luzern, Switzerland",47.0586268,8.3005406,Restaurant Trattoria della nonna,4.6,POINT (8.3005406 47.0586268),POINT (8.3005406 47.0586268)
334,"Kantonsstrasse 74, 6048 Horw, Switzerland",47.020670700000004,8.3106112,Ristorante la Grotta,4.5,POINT (8.3106112 47.0206707),POINT (8.3106112 47.0206707)
335,"Schappeweg 3, 6010 Kriens, Switzerland",47.03465300000001,8.274058499999999,Ristorante uno e più Schappe-Center,4.2,POINT (8.274058499999999 47.03465300000001),POINT (8.274058499999999 47.03465300000001)
336,"Pilatusstrasse 29, 6003 Luzern, Switzerland",47.048146200000005,8.305425999999999,Hotel Astoria Luzern,4.1,POINT (8.305425999999999 47.04814620000001),POINT (8.305425999999999 47.04814620000001)
337,"Metzgerrainle 3, 6004 Luzern, Switzerland",47.0516954,8.3046103,Luzern.pizzaria Valentino,4.2,POINT (8.3046103 47.0516954),POINT (8.3046103 47.0516954)
338,"Oberdierikonerstrasse 3, 6030 Ebikon, Switzerland",47.08436409999999,8.348233500000001,Ristorante Pizzeria Da Vinci,4.3,POINT (8.348233500000001 47.08436409999999),POINT (8.348233500000001 47.08436409999999)
339,"Horwerstrasse 93, 6005 Luzern, Switzerland",47.0328291,8.3036715,Wirtschaft zum Schützenhaus,3.6,POINT (8.3036715 47.0328291),POINT (8.3036715 47.0328291)
340,"Gemeindehauspl. 8, 6048 Horw, Switzerland",47.01871000000001,8.3093439,Ristorante Pizzeria Enzian,4.4,POINT (8.3093439 47.01871000000001),POINT (8.3093439 47.01871000000001)
341,"Kantonsstrasse 130, 6048 Horw, Switzerland",47.01470459999999,8.310830900000001,Restaurant & Pizzeria La Fontana,4.5,POINT (8.310830900000001 47.01470459999999),POINT (8.310830900000001 47.01470459999999)
342,"Baselstrasse 70, 6003 Luzern, Switzerland",47.053567799999996,8.293025499999999,Best Pizza Kurier seit 2000,4.4,POINT (8.293025499999999 47.0535678),POINT (8.293025499999999 47.0535678)
343,"Burgerstrasse 22, 6003 Luzern, Switzerland",47.04949209999999,8.3024699,Punto Giusto,3.6,POINT (8.3024699 47.04949209999999),POINT (8.3024699 47.04949209999999)
344,"45/47, Hirschengraben, 6003 Luzern, Switzerland",47.0505343,8.3012518,Jam Jam Restaurant,4.4,POINT (8.301251799999999 47.0505343),POINT (8.301251799999999 47.0505343)
345,"Murbacherstrasse 4, 6003 Luzern, Switzerland",47.0486078,8.3087804,Bellini,4.2,POINT (8.3087804 47.0486078),POINT (8.3087804 47.0486078)
346,"Theaterstrasse 7, 6003 Luzern, Switzerland",47.050051,8.3068856,Pizzeria La Baracca,4.5,POINT (8.306885599999999 47.050051),POINT (8.306885599999999 47.050051)
347,"Unterer Graben 20, 9000 St. Gallen, Switzerland",47.4274409,9.3748932,Restaurant Baratella,4.5,POINT (9.374893200000001 47.4274409),POINT (9.374893200000001 47.4274409)
348,"Davidstrasse 38, 9000 St. Gallen, Switzerland",47.420113,9.3684157,Ristorante Acquarello,4.4,POINT (9.3684157 47.420113),POINT (9.3684157 47.420113)
349,"Kugelgasse 7, 9000 St. Gallen, Switzerland",47.42525699999999,9.3775808,San Lorenzo,4.2,POINT (9.3775808 47.42525699999999),POINT (9.3775808 47.42525699999999)
350,"Lämmlisbrunnenstrasse 41, 9000 St. Gallen, Switzerland",47.4254019,9.3816766,Restaurant Toscana,4.4,POINT (9.3816766 47.4254019),POINT (9.3816766 47.4254019)
351,"Gartenstrasse 5, 9000 St. Gallen, Switzerland",47.42175229999999,9.373987300000001,Mamma Assunta,4.4,POINT (9.373987300000001 47.42175229999999),POINT (9.373987300000001 47.42175229999999)
352,"Metzgergasse 22, 9000 St. Gallen, Switzerland",47.427095200000004,9.3753294,focacceria st. gallen,4.5,POINT (9.3753294 47.4270952),POINT (9.3753294 47.4270952)
353,"Schmiedgasse 1, 9000 St. Gallen, Switzerland",47.4243342,9.376570800000001,LA FOLLIA,4.2,POINT (9.376570800000001 47.4243342),POINT (9.376570800000001 47.4243342)
354,"Geltenwilenstrasse 15, 9000 St. Gallen, Switzerland",47.4189528,9.366541900000001,Forchetta D'Oro,4.7,POINT (9.366541900000001 47.4189528),POINT (9.366541900000001 47.4189528)
355,"Rorschacher Str. 154, 9006 St. Gallen, Switzerland",47.431151299999996,9.3960321,la bocca,4.3,POINT (9.396032099999999 47.4311513),POINT (9.396032099999999 47.4311513)
356,"Gallusstrasse 39, 9000 St. Gallen, Switzerland",47.4219842,9.3757191,Ristorante Facincani,4.7,POINT (9.3757191 47.4219842),POINT (9.3757191 47.4219842)
357,"Webergasse 9, 9000 St. Gallen, Switzerland",47.423201399999996,9.375021,la bocca city,4.4,POINT (9.375021 47.4232014),POINT (9.375021 47.4232014)
358,"Lindenstrasse 21, 9000 St. Gallen, Switzerland",47.4318124,9.3876844,Zia Rosa GmbH,4.2,POINT (9.387684399999999 47.4318124),POINT (9.387684399999999 47.4318124)
359,"Abacus-Platz 1, 9301 Wittenbach, Switzerland",47.450437,9.396293,Restaurant Al Covo,4.2,POINT (9.396293 47.450437),POINT (9.396293 47.450437)
360,"St. Leonhard-Strasse 71, 9000 St. Gallen, Switzerland",47.42074299999999,9.364923,Pizzeria Bellissimo St. Gallen,5.0,POINT (9.364922999999999 47.42074299999999),POINT (9.364922999999999 47.42074299999999)
361,"Zürcherstrasse 118, 9000 St. Gallen, Switzerland",47.41617960000001,9.3446346,Restaurant Barbarossa Pizza Kurier,3.2,POINT (9.344634599999999 47.41617960000001),POINT (9.344634599999999 47.41617960000001)
362,"Langgasse 5, 9008 St. Gallen, Switzerland",47.4342584,9.3843125,Restaurant Cavallino,4.5,POINT (9.3843125 47.4342584),POINT (9.3843125 47.4342584)
363,"Poststrasse 27, 9000 St. Gallen, Switzerland",47.42403729999999,9.371400900000001,Bar Walhalla St. Gallen,3.7,POINT (9.371400900000001 47.42403729999999),POINT (9.371400900000001 47.42403729999999)
364,"St. Leonhard-Strasse 12, 9000 St. Gallen, Switzerland",47.4237008,9.3728681,Ristorante-Pizzeria La Taverna,4.3,POINT (9.3728681 47.4237008),POINT (9.3728681 47.4237008)
365,"Bruggwaldstrasse 1A, 9008 St. Gallen, Switzerland",47.4424106,9.393649900000002,Pizzeria Trattoria Elba Heiligkreuz GmbH,4.4,POINT (9.393649900000002 47.4424106),POINT (9.393649900000002 47.4424106)
366,"Oberstrasse 30, 9000 St. Gallen, Switzerland",47.4181448,9.3663142,Pizzeria Da Angelo,3.8,POINT (9.3663142 47.4181448),POINT (9.3663142 47.4181448)
367,"Engelgasse 12, 9000 St. Gallen, Switzerland",47.42656969999999,9.3747874,LaVigna,4.6,POINT (9.374787400000001 47.42656969999999),POINT (9.374787400000001 47.42656969999999)
368,"Zürcherstrasse 462, 9015 St. Gallen, Switzerland",47.407835600000006,9.304373599999998,Piazza d'Arena,4.1,POINT (9.304373599999998 47.40783560000001),POINT (9.304373599999998 47.40783560000001)
369,"Langgasse 30, 9008 St. Gallen, Switzerland",47.4358131,9.3870155,Da Gerardo pizzeria restaurante,4.7,POINT (9.3870155 47.4358131),POINT (9.3870155 47.4358131)
370,"Teufener Str. 94, 9000 St. Gallen, Switzerland",47.415279,9.364716,"Ristorante - Pizzeria ""Superpizza""",4.1,POINT (9.364716 47.415279),POINT (9.364716 47.415279)
371,"Bahnhofstrasse 9, 9000 St. Gallen, Switzerland",47.4254196,9.372795,Restaurant Kolosseum,4.6,POINT (9.372795 47.4254196),POINT (9.372795 47.4254196)
372,"St. Gallerstrasse 215, 9200 Gossau, Switzerland",47.4154306,9.2682891,Pizzeria La Pergola,4.5,POINT (9.268289100000001 47.4154306),POINT (9.268289100000001 47.4154306)
373,"Torstrasse 22, 9000 St. Gallen, Switzerland",47.42824299999999,9.377617,dieci Pizzakurier & Restaurant St.Gallen,4.2,POINT (9.377617000000001 47.42824299999999),POINT (9.377617000000001 47.42824299999999)
374,"Rorschacher Str. 200, 9000 St. Gallen, Switzerland",47.43385,9.400574,Pizzakurier St. Gallen & Pizza bestellen & Pizzeria Milano & Lieferservice St. Gallen,4.7,POINT (9.400574000000001 47.43385),POINT (9.400574000000001 47.43385)
375,"Rorschacher Str. 150, 9000 St. Gallen, Switzerland",47.4309602,9.3951442,Terronia Gusto & Musica,4.4,POINT (9.395144200000001 47.4309602),POINT (9.395144200000001 47.4309602)
376,"St. Jakob-Strasse 71, 9000 St. Gallen, Switzerland",47.43186619999999,9.3816976,Vin Pizza Kebab,4.2,POINT (9.381697600000001 47.43186619999999),POINT (9.381697600000001 47.43186619999999)
377,"St. Gallerstrasse 43, 9300 Wittenbach, Switzerland",47.4547266,9.3994085,Pizzeria Testarossa,4.2,POINT (9.3994085 47.4547266),POINT (9.3994085 47.4547266)
378,"Bohl 2, 9000 St. Gallen, Switzerland",47.426145399999996,9.3763261,Restaurant 90 Grad,3.9,POINT (9.3763261 47.4261454),POINT (9.3763261 47.4261454)
379,"Davidstrasse 42, 9000 St. Gallen, Switzerland",47.41992399999999,9.367638000000001,Lagerhaus,4.5,POINT (9.367638000000001 47.41992399999999),POINT (9.367638000000001 47.41992399999999)
380,"Via Stauffacher 1, 6900 Lugano, Switzerland",46.0041429,8.955122300000001,Elementi,4.3,POINT (8.955122300000001 46.0041429),POINT (8.955122300000001 46.0041429)
381,"Piazza Alighieri Dante, 6901 Lugano, Switzerland",46.004829799999996,8.9509204,Ristorante Commercianti,4.1,POINT (8.950920399999999 46.0048298),POINT (8.950920399999999 46.0048298)
382,"Via Cantonale, 6912 Lugano, Switzerland",45.982991999999996,8.956389,Capo San Martino Restaurant,4.3,POINT (8.956389 45.982992),POINT (8.956389 45.982992)
383,"Via Alla Bozzoreda 4, 6963 Lugano, Switzerland",46.019765299999996,8.973677799999997,Ristorante Pizzeria del Sole,4.3,POINT (8.973677799999997 46.0197653),POINT (8.973677799999997 46.0197653)
384,"Via Cattedrale 16, 6900 Lugano, Switzerland",46.0052836,8.948688899999997,Pasta e Pesto,4.4,POINT (8.948688899999997 46.0052836),POINT (8.948688899999997 46.0052836)
385,"Via Massimiliano Magatti 3, 6900 Lugano, Switzerland",46.004264899999995,8.952031800000002,Bottegone,4.4,POINT (8.952031800000002 46.0042649),POINT (8.952031800000002 46.0042649)
386,"Via Giosuè Carducci 4, 6900 Lugano, Switzerland",46.004765,8.953227,Ristorante Trattoria Galleria,4.4,POINT (8.953227 46.004765),POINT (8.953227 46.004765)
387,"Via Luigi Canonica 5, 6900 Lugano, Switzerland",46.0068638,8.9567414,Deseo,4.4,POINT (8.9567414 46.0068638),POINT (8.9567414 46.0068638)
388,"Via del Tiglio 13/A, 6900 Lugano, Switzerland",46.0076192,8.9625627,Ristorante Pizzeria da Franco,4.4,POINT (8.962562699999999 46.0076192),POINT (8.962562699999999 46.0076192)
389,"Via Serafino Balestra 20, 6900 Lugano, Switzerland",46.0076887,8.958149599999997,Fingy's,4.7,POINT (8.958149599999997 46.0076887),POINT (8.958149599999997 46.0076887)
390,"Via Giovanni Nizzola 2, 6900 Lugano, Switzerland",46.005803799999995,8.9531111,Orologio,4.5,POINT (8.953111099999999 46.0058038),POINT (8.953111099999999 46.0058038)
391,"Piazza Riziero Rezzonico 2, 6900 Lugano, Switzerland",46.0033352,8.9509173,Mary,3.5,POINT (8.9509173 46.0033352),POINT (8.9509173 46.0033352)
392,"Via Cantonale 1, 6900 Lugano, Switzerland",46.00668599999999,8.9499084,La Trattoria a Lugano,4.6,POINT (8.9499084 46.00668599999999),POINT (8.9499084 46.00668599999999)
393,"Via Clemente Maraini, 6900 Lugano, Switzerland",46.004475899999996,8.947633900000001,AnaCapri Ristorante SA,3.8,POINT (8.947633900000001 46.0044759),POINT (8.947633900000001 46.0044759)
394,"Lugano CH, Scalinata alla Torretta 30, 6979 Brè sopra, Switzerland",46.009069200000006,8.986487599999998,Osteria Funiculare,4.3,POINT (8.986487599999998 46.00906920000001),POINT (8.986487599999998 46.00906920000001)
395,"pian scairolo 4, 6915 Lugano, Switzerland",45.985902100000004,8.9342224,Ristorante Serrafiorita,4.1,POINT (8.934222399999999 45.9859021),POINT (8.934222399999999 45.9859021)
396,"Piazza Riforma 9, 6900 Lugano, Switzerland",46.00400820000001,8.951030699999999,Sass,3.9,POINT (8.951030699999999 46.00400820000001),POINT (8.951030699999999 46.00400820000001)
397,"Via Ponte Tresa 28, 6924 Sorengo, Switzerland",45.9967809,8.935006900000001,Ristorante Giardino,4.0,POINT (8.935006900000001 45.9967809),POINT (8.935006900000001 45.9967809)
398,"Via Stremadone 1, 6987 Caslano, Switzerland",45.969355,8.883158,Pizzeria Quadrifoglio,4.5,POINT (8.883158 45.969355),POINT (8.883158 45.969355)
399,"Riva Giocondo Albertolli 5, 6900 Lugano, Switzerland",46.003812200000006,8.954818699999997,GianGusto,4.3,POINT (8.954818699999997 46.00381220000001),POINT (8.954818699999997 46.00381220000001)
400,"Piazza S. Giovanni 8, 6925 Collina d'Oro, Switzerland",45.99170170000001,8.9189607,Ristorante A CASA MIA,4.3,POINT (8.9189607 45.99170170000001),POINT (8.9189607 45.99170170000001)
401,"Via Principale 55, 6914 Lugano / Carona, Switzerland",45.95636,8.9344,Ristorante La Sosta,4.5,POINT (8.9344 45.95636),POINT (8.9344 45.95636)
402,"Piazza Indipendenza 9, 6901 Lugano, Switzerland",46.0057336,8.9551217,Restaurant Pestalozzi Lugano,3.8,POINT (8.955121699999999 46.0057336),POINT (8.955121699999999 46.0057336)
403,"Via Besso 86, 6900 Lugano, Switzerland",46.010853499999996,8.936914999999997,Ristorante-Pizzeria Golosone,4.0,POINT (8.936914999999997 46.0108535),POINT (8.936914999999997 46.0108535)
404,"Via Bertaro Lambertenghi 5, 6900 Lugano, Switzerland",46.0087593,8.9573429,Ristorante Fresco,4.3,POINT (8.9573429 46.0087593),POINT (8.9573429 46.0087593)
405,"Piázza dra Stazzión 6, 6967 Dino, Switzerland",46.052421,8.983194000000001,Ristorante Miramonti,4.4,POINT (8.983194000000001 46.052421),POINT (8.983194000000001 46.052421)
406,"Piazza Riziero Rezzonico 7, 6900 Lugano, Switzerland",46.002688899999995,8.9503665,Spaghetti Store SA,4.0,POINT (8.950366499999999 46.0026889),POINT (8.950366499999999 46.0026889)
407,"Str. dar Pian 60, 6945 Origlio, Switzerland",46.0487153,8.944500900000001,Le Betulle,4.3,POINT (8.944500900000001 46.0487153),POINT (8.944500900000001 46.0487153)
408,"Via Foce 9, 6900 Lugano, Switzerland",46.0033205,8.961738100000002,Antica Osteria del Porto,4.2,POINT (8.961738100000002 46.0033205),POINT (8.961738100000002 46.0033205)
409,"Via Brusimpiano, 8B, 21037 Lavena Ponte Tresa VA, Italy",45.953608100000004,8.8762897,La Sella d''Oro,4.0,POINT (8.876289699999999 45.9536081),POINT (8.876289699999999 45.9536081)
410,"Via Riviera 1, 6900 Lugano, Switzerland",46.0051954,8.970557300000001,Neapolis - le Taverne di Lucullo,4.2,POINT (8.970557300000001 46.0051954),POINT (8.970557300000001 46.0051954)
411,"Piazza Emilio Bossi 7, 6900 Lugano, Switzerland",46.00510509999999,8.9703538,Ristorante Arté,4.7,POINT (8.9703538 46.00510509999999),POINT (8.9703538 46.00510509999999)
412,"Salita M. e A. Chiattone 10, 6900 Lugano, Switzerland",46.00534520000001,8.9501847,Manora,4.1,POINT (8.950184699999999 46.00534520000001),POINT (8.950184699999999 46.00534520000001)
413,"Via Cantonale, 6978 Lugano, Switzerland",46.005925,9.002217,Ristorante le bucce di Gandria,4.7,POINT (9.002217 46.005925),POINT (9.002217 46.005925)
414,"Via Pietro Capelli 2, 6962 Viganello, Switzerland",46.010056,8.9598871,Anema & Core,4.2,POINT (8.9598871 46.010056),POINT (8.9598871 46.010056)
415,"Via Cattedrale 12, 6900 Lugano, Switzerland",46.0051727,8.949202099999997,Osteria Trani,4.3,POINT (8.949202099999997 46.0051727),POINT (8.949202099999997 46.0051727)
416,"Via dei Gorini 2, 6900 Lugano, Switzerland",46.00413469999999,8.950744699999998,La Tinera,4.5,POINT (8.950744699999998 46.00413469999999),POINT (8.950744699999998 46.00413469999999)
417,"Crocicchio Cortogna 1, 6900 Lugano, Switzerland",46.0040863,8.951456799999997,Bistrot & Pizza Argentino,4.3,POINT (8.951456799999997 46.0040863),POINT (8.951456799999997 46.0040863)
418,"Piazza Francesco Borromini, 6816 Bissone, Switzerland",45.9510991,8.9643561,Albergo Ristorante La Palma,4.0,POINT (8.9643561 45.9510991),POINT (8.9643561 45.9510991)
419,"Riva Vincenzo Vela 4, 6900 Lugano, Switzerland",46.002130799999996,8.9500777,La Cucina di Alice,4.2,POINT (8.9500777 46.0021308),POINT (8.9500777 46.0021308)
420,"Via Antonio Fusoni 18, 6900 Lugano, Switzerland",46.00906699999999,8.959439999999997,I Calafatari,4.5,POINT (8.959439999999997 46.00906699999999),POINT (8.959439999999997 46.00906699999999)
421,"Via Pessina 3, 6900 Lugano, Switzerland",46.003887,8.950201,Grand Café Al Porto,4.5,POINT (8.950201 46.003887),POINT (8.950201 46.003887)
422,"Piazza Nisciör, 6978 Lugano, Switzerland",46.005238,9.002516,Locanda Gandriese,4.4,POINT (9.002516 46.005238),POINT (9.002516 46.005238)
423,"Piazza Riforma 10, 6900 Lugano, Switzerland",46.0039712,8.9514857,Tango Riforma SA,3.9,POINT (8.951485699999999 46.0039712),POINT (8.951485699999999 46.0039712)
424,"Piazza Lucchini 5, 6978 Lugano, Switzerland",46.005604999999996,9.003596,Ristorante Antico,4.1,POINT (9.003596 46.005605),POINT (9.003596 46.005605)
425,"Località Cini, 21, 22018 Cima CO, Italy",46.0274951,9.0976906,Ristorante La Masseria Beach Terrace & Grill,4.9,POINT (9.0976906 46.0274951),POINT (9.0976906 46.0274951)
426,"Bahnhofstrasse 14, 2502 Biel, Switzerland",47.13448220000001,7.2444429999999995,L'Osteria Biel-Bienne,4.1,POINT (7.244443 47.13448220000001),POINT (7.244443 47.13448220000001)
427,"Spitalstrasse 24/26, 2502 Biel, Switzerland",47.135788700000006,7.2428619,Ristorante Italia,4.1,POINT (7.2428619 47.13578870000001),POINT (7.2428619 47.13578870000001)
428,"Rathausgässli 6, 2502 Biel, Switzerland",47.1411144,7.2458776,Osteria Da Willy,4.4,POINT (7.2458776 47.1411144),POINT (7.2458776 47.1411144)
429,"Solothurnstrasse 13, 2504 Biel, Switzerland",47.1542446,7.268384099999999,La Cantina Dei Sapori,4.4,POINT (7.268384099999999 47.1542446),POINT (7.268384099999999 47.1542446)
430,"Zentralstrasse 66A, 2503 Biel, Switzerland",47.134063299999994,7.249111900000001,Circolo Abruzzese,4.4,POINT (7.249111900000001 47.13406329999999),POINT (7.249111900000001 47.13406329999999)
431,"General-Dufour-Strasse 143, 2502 Biel, Switzerland",47.1443695,7.2572573,Restaurant Pizzeria Merkur - Holzofenpizzeria,4.3,POINT (7.2572573 47.1443695),POINT (7.2572573 47.1443695)
432,"Lyss-Strasse 19,2560 Nidau, 2560 Nidau, Switzerland",47.126088,7.2464168,Pizza Bakers,4.0,POINT (7.2464168 47.126088),POINT (7.2464168 47.126088)
433,"Zentralstrasse 31, 2502 Biel, Switzerland",47.1379838,7.245914399999998,Il Rusticone Ristorante Pizzeria,4.0,POINT (7.245914399999998 47.1379838),POINT (7.245914399999998 47.1379838)
434,"Bahnhofstrasse 32, 2502 Biel, Switzerland",47.13545999999999,7.245252000000002,Al Capone Pizzeria,4.3,POINT (7.245252000000002 47.13545999999999),POINT (7.245252000000002 47.13545999999999)
435,"Zentralstrasse 56, 2502 Biel, Switzerland",47.1354823,7.247775499999999,Da Carlos,3.9,POINT (7.247775499999999 47.1354823),POINT (7.247775499999999 47.1354823)
436,"Güterstrasse 9, 2501 Biel, Switzerland",47.134831,7.2455169999999995,Pizzeria Cabane,4.2,POINT (7.245517 47.134831),POINT (7.245517 47.134831)
437,"Bubenberg-Strasse 9, 2502 Biel, Switzerland",47.1434389,7.250858299999999,Restaurant Ischia Pizzeria,4.5,POINT (7.250858299999999 47.1434389),POINT (7.250858299999999 47.1434389)
438,"Grenchenstrasse 5, 2504 Biel, Switzerland",47.159428399999996,7.290158399999998,TENENTI,3.5,POINT (7.290158399999998 47.1594284),POINT (7.290158399999998 47.1594284)
439,"Zukunftstrasse 20, 2503 Biel, Switzerland",47.1333505,7.2477964,Restaurant Pizzeria Zukunft,3.9,POINT (7.2477964 47.1333505),POINT (7.2477964 47.1333505)
440,"Aarbergstrasse 90, 2502 Biel, Switzerland",47.133716299999996,7.2412323,Restaurant Campanello,4.0,POINT (7.2412323 47.1337163),POINT (7.2412323 47.1337163)
441,"Zentralstrasse 55, 2502 Biel, Switzerland",47.1363255,7.2474567,Restaurant Pizzeria Verona,4.2,POINT (7.2474567 47.1363255),POINT (7.2474567 47.1363255)
442,"Untere Hauptgasse 26, 3600 Thun, Switzerland",46.760783,7.628839,Trattoria Rimini,4.6,POINT (7.628839 46.760783),POINT (7.628839 46.760783)
443,"Bälliz 12, 3600 Thun, Switzerland",46.7597419,7.6261752000000005,Restaurant La Perla Pizzeria,4.1,POINT (7.6261752 46.7597419),POINT (7.6261752 46.7597419)
444,"Hofstettenstrasse 6, 3600 Thun, Switzerland",46.7570965,7.6332995000000015,Ristorante Beau Rivage da Domenico Zaccaria,4.6,POINT (7.633299500000001 46.7570965),POINT (7.633299500000001 46.7570965)
445,"Bälliz 61, 3600 Thun, Switzerland",46.757645700000005,7.629414899999999,Waisenhaus,4.1,POINT (7.629414899999999 46.7576457),POINT (7.629414899999999 46.7576457)
446,"C. F. L. Lohnerstrasse 55, 3645 Gwatt (Thun), Switzerland",46.72807539999999,7.6118916,Restaurant Cavallino,4.2,POINT (7.6118916 46.72807539999999),POINT (7.6118916 46.72807539999999)
447,"Freienhofgasse 16, 3600 Thun, Switzerland",46.7576685,7.6307580999999995,Ristorante Al Ponte,4.1,POINT (7.6307581 46.7576685),POINT (7.6307581 46.7576685)
448,"Freienhofgasse 13, 3600 Thun, Switzerland",46.756966,7.6306095,Ristorante Pizzeria Rialto,4.0,POINT (7.6306095 46.756966),POINT (7.6306095 46.756966)
449,"142, Staatsstrasse, 3626 Hilterfingen, Switzerland",46.74596079999999,7.6443292000000005,Chartreuse Osteria da Pasquale,4.6,POINT (7.6443292 46.74596079999999),POINT (7.6443292 46.74596079999999)
450,"Obere Hauptgasse 46, 3600 Thun, Switzerland",46.75844379999999,7.6300025,Restaurant Primavera,4.1,POINT (7.6300025 46.75844379999999),POINT (7.6300025 46.75844379999999)
451,"Länggasse 6, 3600 Thun, Switzerland",46.754874,7.626635,Delux Pizza,4.6,POINT (7.626635 46.754874),POINT (7.626635 46.754874)
452,"Mittlere Str. 28, 3600 Thun, Switzerland",46.7569372,7.6207272,Picco Bello Pizza,3.7,POINT (7.6207272 46.7569372),POINT (7.6207272 46.7569372)
453,"Aarequai 56, 3600 Thun, Switzerland",46.758177200000006,7.6303722999999986,Vinothek Thun Ristorante,4.3,POINT (7.630372299999999 46.75817720000001),POINT (7.630372299999999 46.75817720000001)
454,"Höchhusweg 17, 3612 Steffisburg, Switzerland",46.777597799999995,7.637303600000001,Ristorante Cinquecento,4.4,POINT (7.637303600000001 46.7775978),POINT (7.637303600000001 46.7775978)
455,"Freienhofgasse 12, 3600 Thun, Switzerland",46.75765,7.630428599999999,Sottoriva Osteria Venexiana,4.4,POINT (7.630428599999999 46.75765),POINT (7.630428599999999 46.75765)
456,"Schlossberg 2, 3600 Thun, Switzerland",46.759865999999995,7.629822,Schloss Hotel Thun,4.4,POINT (7.629822 46.759866),POINT (7.629822 46.759866)
457,"Am Aarequai 56, 3600 Thun, Switzerland",46.758179,7.630361999999999,Vinothek Thun,4.5,POINT (7.630361999999999 46.758179),POINT (7.630361999999999 46.758179)
458,"Gerberngasse 1, 3600 Thun, Switzerland",46.759661200000004,7.628272199999999,Hotel Restaurant Rathaus AG,3.9,POINT (7.628272199999999 46.7596612),POINT (7.628272199999999 46.7596612)
459,"Schwarzenburgstrasse 878, 3145 Niederscherli, Switzerland",46.8824537,7.380069700000001,Restaurant Sternen-Taufeld,4.3,POINT (7.380069700000001 46.8824537),POINT (7.380069700000001 46.8824537)
463,"Schaufelweg 19, 3098 Köniz, Switzerland",46.909934899999996,7.4154617,Zentrum-Eres,5.0,POINT (7.4154617 46.9099349),POINT (7.4154617 46.9099349)
471,"Schwarzenburgstrasse 279, 3098 Köniz, Switzerland",46.922596500000004,7.4142929,Restaurant & Pizzeria Sternen,3.5,POINT (7.4142929 46.9225965),POINT (7.4142929 46.9225965)
485,"Seftigenstrasse 362, 3084 Wabern, Switzerland",46.923066999999996,7.4600453999999985,Inter Pizza Kurier,4.0,POINT (7.460045399999998 46.923067),POINT (7.460045399999998 46.923067)
487,"Chasseralstrasse 156, 3095 Spiegel b. Bern, Switzerland",46.9264125,7.433656200000001,Ristorante Pizzeria da Capo,4.0,POINT (7.433656200000001 46.9264125),POINT (7.433656200000001 46.9264125)
499,"Kirchstrasse 4, 3097 Liebefeld, Switzerland",46.9303573,7.4282593,Pizza fox,3.7,POINT (7.4282593 46.9303573),POINT (7.4282593 46.9303573)
500,"Muhlernstrasse 9, 3098 Köniz, Switzerland",46.920865,7.413898399999999,Restaurant zum Schloss,4.7,POINT (7.413898399999999 46.920865),POINT (7.413898399999999 46.920865)
505,"Schwarzenburgstrasse 279, 3098 Köniz, Switzerland",46.9226083,7.414294900000002,Hotel Sternen,4.0,POINT (7.414294900000002 46.9226083),POINT (7.414294900000002 46.9226083)
507,"Könizstrasse 175, 3097 Liebefeld/Bern, Switzerland",46.934869,7.415625999999999,Haberbüni,4.6,POINT (7.415625999999999 46.934869),POINT (7.415625999999999 46.934869)
508,"Könizstrasse 260, 3097 Liebefeld, Switzerland",46.9287753,7.416232199999999,Restaurant Rondell,4.3,POINT (7.416232199999999 46.9287753),POINT (7.416232199999999 46.9287753)
509,"Seftigenstrasse 32, 3007 Bern, Switzerland",46.937121999999995,7.431895599999999,Abyssinia Restaurant,4.5,POINT (7.431895599999999 46.937122),POINT (7.431895599999999 46.937122)
510,"Landorfstrasse 7, 3098 Köniz, Switzerland",46.92281679999999,7.4130965999999985,Mein-Küchenchef,4.7,POINT (7.413096599999998 46.92281679999999),POINT (7.413096599999998 46.92281679999999)
511,"Landorfstrasse 31, 3098 Köniz, Switzerland",46.921420899999994,7.412029999999999,Indian Kitchen,4.6,POINT (7.412029999999999 46.92142089999999),POINT (7.412029999999999 46.92142089999999)
512,"Landorfstrasse 29, 3098 Köniz, Switzerland",46.9217369,7.411922199999998,Restaurant Brunnenhof,3.8,POINT (7.411922199999998 46.9217369),POINT (7.411922199999998 46.9217369)
513,"Schwarzenburgstrasse 229, 3098 Köniz, Switzerland",46.925588700000006,7.4172936,Art Asia,4.3,POINT (7.4172936 46.92558870000001),POINT (7.4172936 46.92558870000001)
514,"Schwarzenburgstrasse 134, 3097 Liebefeld, Switzerland",46.9320605,7.421063599999999,Restaurant Landhaus Liebefeld,4.4,POINT (7.421063599999999 46.9320605),POINT (7.421063599999999 46.9320605)
515,"Schlossstrasse 34, 3098 Köniz, Switzerland",46.923543,7.417486,Restaurant Sinfonie,4.1,POINT (7.417486 46.923543),POINT (7.417486 46.923543)
516,"Könizstrasse 161, 3097 Köniz, Switzerland",46.935407899999994,7.416713300000001,Le Beizli,4.4,POINT (7.416713300000001 46.93540789999999),POINT (7.416713300000001 46.93540789999999)
518,"Rue du Parc 43, 2300 La Chaux-de-Fonds, Switzerland",47.1016464,6.825614999999999,L'Orphéo,4.1,POINT (6.825614999999999 47.1016464),POINT (6.825614999999999 47.1016464)
